#LB_label,#LA_label,#ID,ChargeTransfer,la_nB,nO,AMW,nROCON,la_nHM,nPyrroles,la_Mp,la_nH,nR08,H-047,Total_MW,nH,la_Hy,la_Me,nRNH2,C-024,nCconjX
16,9,C5H4NF:BBr3,-0.2953,1,0,8.83,0,0,0,1.73,0,0,3,347.61,4,0.0,1.09,0,3,0
16,10,C5H4NF:C18BF15,-0.36854,1,0,8.83,0,0,0,0.72,0,0,3,609.09,4,-0.525,1.2,0,3,0
16,11,C5H4NF:BI3,-0.24738,1,0,8.83,0,0,0,2.71,0,0,3,488.61,4,0.0,0.97,0,3,0
16,12,C5H4NF:O2S,-0.07472,0,0,8.83,0,0,0,0.85,0,0,3,161.17,4,0.0,1.24,0,3,0
17,1,C6H7N:AlCl3,-0.1676,0,0,6.65,0,1,0,1.89,0,0,3,226.47,7,0.0,1.1,0,3,0
17,2,C6H7N:AlH3,-0.15838,0,0,6.65,0,1,0,1.25,3,0,3,123.15,7,0.0,0.86,0,3,0
17,3,C6H7N:C18F15Al,-0.18362,0,0,6.65,0,1,0,0.78,0,0,3,621.3,7,-0.525,1.19,0,3,0
17,4,C6H7N:C3H9Al,-0.15246,0,0,6.65,0,1,0,0.79,9,0,3,165.24,7,-0.646,0.93,0,3,0
17,5,C6H7N:C2H5AlCl2,-0.1576,0,0,6.65,0,1,0,1.02,5,0,3,220.09,7,-0.359,0.99,0,3,0
17,6,C6H7N:BH3,-0.32724,1,0,6.65,0,0,0,0.72,3,0,3,106.98,7,0.0,0.91,0,3,0
17,7,C6H7N:BF3,-0.30354,1,0,6.65,0,0,0,0.67,0,0,3,160.95,7,0.0,1.3,0,3,0
17,8,C6H7N:BCl3,-0.31426,1,0,6.65,0,0,0,1.36,0,0,3,210.3,7,0.0,1.16,0,3,0
17,9,C6H7N:BBr3,-0.29314,1,0,6.65,0,0,0,1.73,0,0,3,343.65,7,0.0,1.09,0,3,0
17,10,C6H7N:C18BF15,-0.3769,1,0,6.65,0,0,0,0.72,0,0,3,605.13,7,-0.525,1.2,0,3,0
17,11,C6H7N:BI3,-0.25672,1,0,6.65,0,0,0,2.71,0,0,3,484.65,7,0.0,0.97,0,3,0
17,12,C6H7N:O2S,-0.13514,0,0,6.65,0,0,0,0.85,0,0,3,157.21,7,0.0,1.24,0,3,0
18,1,NH3:AlCl3,-0.18562,0,0,4.26,0,1,0,1.89,0,0,0,150.37,3,0.0,1.1,0,0,0
18,2,NH3:AlH3,-0.17416,0,0,4.26,0,1,0,1.25,3,0,0,47.05,3,0.0,0.86,0,0,0
18,3,NH3:C18F15Al,-0.19356,0,0,4.26,0,1,0,0.78,0,0,0,545.2,3,-0.525,1.19,0,0,0
